"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"vO4rIXzsK3aWn1EZ4cHwXQ","Mother Tongue",43.6473760746769,-79.3932983,NA,3.8,85,2337.20375097482,"164","Wellington Place","Bar","East Asian","Single Location"
"a_YDkm5D5W2x8qGBke3qaw","Takoyaki6ix",43.6550705,-79.3999101,NA,4.6,21,2088.83672060197,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"JG9UpsFR6hrqQqsKh_RyaQ","PLANTA Yorkville",43.67028,-79.38945,"Medium",3.9,538,3810.49474675219,"095","Annex","Bar","East Asian","Single Location"
"WN3NSIJQHfxtjf1kV7snVA","Kevin's Taiyaki",43.6638145279363,-79.4162761,"Low",4.5,81,2095.20004818666,"080","Palmerston-Little Italy","Other","East Asian","Single Location"
"S7aRQKxj_IMuA0SBlrMZ5A","Momo Ghar West",43.649973,-79.482693,NA,4.8,5,4889.67568978312,"089","Runnymede-Bloor West Village","Other","East Asian","Single Location"
"uGLAEGqeJa4jtP1Io0sOrg","Mineral",43.67763,-79.38947,NA,4.5,37,4443.67117382001,"098","Rosedale-Moore Park","Other","East Asian","Single Location"
"_5XClj4E5VCIsEscbrrPKg","LoPan",43.65574,-79.4098,"High",4.2,26,1522.43455635809,"081","Trinity-Bellwoods","Bar","East Asian","Single Location"
"fp8h0LdbO5WxiK41oYgZVA","Idle On Bloor",43.6603,-79.43255,"Medium",3.4,12,1844.64351033614,"083","Dufferin Grove","Lounges","East Asian","Single Location"
"OXW2erFOPT-Oov6wChxWYA","Lee Chen Asian Bistro - King",43.6473690555399,-79.3867627903819,"Medium",3.9,231,2861.23752616316,"164","Wellington Place","Other","East Asian","Single Location"
"L41ZNl-dodbQMkckxA7eMA","Thairoomgrand",43.7049801,-79.4077478,"Medium",4.3,33,6717.04454831678,"100","Yonge-Eglinton","Other","East Asian","Single Location"
"mrPohrKI8RLFwnJmB7LKsg","Petit Potato",43.6661844,-79.387415,NA,4,13,3626.03498285757,"169","Bay-Cloverhill","Other","East Asian","Small Chain"
"bNynUUb2uYtHGLSD7mS3Bw","Shangrila Tibetan & Asian Cuisine",43.6397400555351,-79.4415438622399,"Medium",4.1,99,1679.97533400551,"086","Roncesvalles","Diner","South Asian","Single Location"
"IZk4I8rDH7b5WFdx5jmPRA","Pho Lang Van",43.6795756759952,-79.4361752983373,"Medium",4,58,3954.86769186854,"092","Corso Italia-Davenport","Other","East Asian","Single Location"
"N0l4hT7UCywbZ9UEZ1R9kQ","Patois Toronto",43.65202,-79.40816,"Medium",3.7,379,1340.81206689076,"081","Trinity-Bellwoods","Other","East Asian","Single Location"
"WpK-mZ7w-304c78MOEYH6A","Mai Bistro",43.6490027,-79.5285543,"Medium",4.4,102,8564.28625012377,"158","Islington","Other","East Asian","Single Location"
"ZDn09j2BtGBZHPsXv2m4oA","The Lost Land",43.651275,-79.3790426478504,NA,3,3,3533.94666246106,"170","Yonge-Bay Corridor","Other","East Asian","Single Location"
"K2CdjES-IZDDEgetOnf0Vw","One2 Snacks",43.7866073,-79.2767206,"Low",4.5,268,19571.4966999469,"128","Agincourt South-Malvern West","Other","East Asian","Single Location"
"o4EbxgAFBXOYIx8-aMZdgw","My Meatball Place",43.6441043655965,-79.4008460764451,NA,4.7,6,1727.00556795925,"164","Wellington Place","Other","East Asian","Single Location"
"p82Oz-NOHn-MAZQ0jQBkNg","Riki Sushi",43.6623,-79.42287,"Medium",3.7,25,1885.11727764665,"080","Palmerston-Little Italy","Bar","East Asian","Single Location"
"H572i_MvhPy-nEegESfzvQ","Wok Boyz",43.638292,-79.41841,NA,3.7,6,878.344208198074,"163","Fort York-Liberty Village","Fast Food","East Asian","Single Location"
"U2fAN5cZTMKm9mvQns-VKw","PLANTA Queen Entertainment District",43.650769,-79.388083,"High",4.1,205,2810.74706762899,"078","Kensington-Chinatown","Bar","East Asian","Single Location"
"TqyG5p4KgszxsezpgDFsCw","Katsuya",43.731431,-79.4591441,"Medium",4.8,48,10008.7140696261,"155","Downsview","Other","East Asian","Medium Chain"
